Country Name;Country Code;2023
Aruba;ABW;30120
Afghanistan;AFG;380
Angola;AGO;2120
Albania;ALB;7680
United Arab Emirates;ARE;49020
Argentina;ARG;12890
Armenia;ARM;6780
Antigua and Barbuda;ATG;20200
Australia;AUS;63150
Austria;AUT;55030
Azerbaijan;AZE;6660
Burundi;BDI;220
Belgium;BEL;54580
Benin;BEN;1390
Burkina Faso;BFA;860
Bangladesh;BGD;2880
Bulgaria;BGR;14280
Bahrain;BHR;28300
Bahamas, The;BHS;33330
Bosnia and Herzegovina;BIH;8280
Belarus;BLR;7790
Belize;BLZ;6890
Bermuda;BMU;130290
Bolivia;BOL;3620
Brazil;BRA;9280
Barbados;BRB;22870
Brunei Darussalam;BRN;34480
Botswana;BWA;8340
Central African Republic;CAF;530
Canada;CAN;54040
Switzerland;CHE;95070
Chile;CHL;15800
China;CHN;13390
Cote d'Ivoire;CIV;2470
Cameroon;CMR;1690
Congo, Dem. Rep.;COD;630
Congo, Rep.;COG;2450
Colombia;COL;6810
Comoros;COM;1610
Cabo Verde;CPV;4780
Costa Rica;CRI;14260
Cyprus;CYP;32960
Czechia;CZE;27370
Germany;DEU;54800
Djibouti;DJI;3400
Dominica;DMA;9790
Denmark;DNK;73340
Dominican Republic;DOM;9710
Algeria;DZA;4950
Ecuador;ECU;6590
Egypt, Arab Rep.;EGY;3840
Spain;ESP;32830
Estonia;EST;27620
Ethiopia;ETH;1110
Finland;FIN;53230
Fiji;FJI;5680
France;FRA;45180
Faroe Islands;FRO;72150
Micronesia, Fed. Sts.;FSM;4250
Gabon;GAB;7930
United Kingdom;GBR;47700
Georgia;GEO;6710
Ghana;GHA;2360
Guinea;GIN;1350
Gambia, The;GMB;870
Guinea-Bissau;GNB;940
Equatorial Guinea;GNQ;4840
Greece;GRC;22590
Grenada;GRD;10470
Guatemala;GTM;5480
Guyana;GUY;13600
Hong Kong SAR, China;HKG;55170
Honduras;HND;2890
Croatia;HRV;20590
Haiti;HTI;1760
Hungary;HUN;19670
Indonesia;IDN;4810
India;IND;2540
Ireland;IRL;78970
Iran, Islamic Rep.;IRN;4650
Iraq;IRQ;5640
Iceland;ISL;80400
Israel;ISR;54650
Italy;ITA;37920
Jamaica;JAM;6200
Jordan;JOR;4420
Japan;JPN;39350
Kazakhstan;KAZ;10730
Kenya;KEN;2110
Kyrgyz Republic;KGZ;1760
Cambodia;KHM;2390
Kiribati;KIR;3740
St. Kitts and Nevis;KNA;21520
Korea, Rep.;KOR;35490
Kuwait;KWT;41320
Lao PDR;LAO;2110
Liberia;LBR;710
Libya;LBY;5940
St. Lucia;LCA;12350
Sri Lanka;LKA;3540
Lesotho;LSO;1250
Lithuania;LTU;25080
Luxembourg;LUX;83980
Latvia;LVA;22630
Morocco;MAR;3760
Moldova;MDA;6200
Madagascar;MDG;510
Maldives;MDV;11070
Mexico;MEX;11980
Marshall Islands;MHL;7860
North Macedonia;MKD;7900
Mali;MLI;840
Malta;MLT;34750
Myanmar;MMR;1230
Montenegro;MNE;11590
Mongolia;MNG;4870
Mozambique;MOZ;540
Mauritania;MRT;2130
Mauritius;MUS;11590
Malawi;MWI;600
Malaysia;MYS;11710
Namibia;NAM;4280
Niger;NER;620
Nigeria;NGA;1880
Nicaragua;NIC;2350
Netherlands;NLD;62540
Norway;NOR;102910
Nepal;NPL;1430
Nauru;NRU;23980
New Zealand;NZL;48220
Oman;OMN;20470
Pakistan;PAK;1460
Panama;PAN;17870
Peru;PER;7090
Philippines;PHL;4320
Palau;PLW;14110
Papua New Guinea;PNG;2820
Poland;POL;19900
Puerto Rico;PRI;25240
Portugal;PRT;26150
Paraguay;PRY;6220
West Bank and Gaza;PSE;4180
Qatar;QAT;79430
Romania;ROU;16660
Russian Federation;RUS;14250
Rwanda;RWA;990
Saudi Arabia;SAU;31860
Sudan;SDN;880
Senegal;SEN;1630
Singapore;SGP;70590
Solomon Islands;SLB;2100
Sierra Leone;SLE;870
El Salvador;SLV;4960
Somalia;SOM;590
Serbia;SRB;10760
Sao Tome and Principe;STP;2580
Suriname;SUR;5200
Slovak Republic;SVK;22790
Slovenia;SVN;30860
Sweden;SWE;60480
Eswatini;SWZ;3690
Sint Maarten (Dutch part);SXM;36890
Seychelles;SYC;16940
Turks and Caicos Islands;TCA;26490
Chad;TCD;670
Togo;TGO;1000
Thailand;THA;7200
Tajikistan;TJK;1400
Turkmenistan;TKM;8250
Timor-Leste;TLS;2020
Trinidad and Tobago;TTO;21000
Tunisia;TUN;3840
Turkiye;TUR;11730
Tuvalu;TUV;8770
Tanzania;TZA;1220
Uganda;UGA;970
Ukraine;UKR;4950
Uruguay;URY;19700
United States;USA;80450
Uzbekistan;UZB;2700
St. Vincent and the Grenadines;VCT;10300
Viet Nam;VNM;4110
Vanuatu;VUT;3820
Samoa;WSM;4200
Kosovo;XKX;6020
South Africa;ZAF;6480
Zambia;ZMB;1290
Zimbabwe;ZWE;2060
